date, pm25, pm10, o3, no2, so2, co
23/06/2021,86.00,51.00,10.00,11.00,4.29,2.00
22/06/2021,96.00,72.00,8.00,10.00,4.00,2.00
21/06/2021,108.00,82.00,9.00,10.00,5.00,2.00
20/06/2021,63.00,85.00,7.00,9.00,5.00,1.00
19/06/2021,43.00,53.00,10.00,8.00,5.00,1.00
18/06/2021,53.00,33.00,9.00,7.00,5.00,1.00
17/06/2021,20.00,43.00,6.00,7.00,6.00,1.00
16/06/2021,11.00,19.00,9.00,7.00,5.00,1.00
15/06/2021,15.00,16.00,8.00,7.00,8.00,2.00
14/06/2021,18.00,12.00,8.00,7.00,5.00,2.00
13/06/2021,15.00,15.00,9.00,7.00,14.00,2.00
12/06/2021,15.00,13.00,13.00,7.00,5.00,1.00
11/06/2021,22.00,15.00,9.00,7.00,5.00,1.00
10/06/2021,16.00,20.00,8.00,7.00,5.00,1.00
9/06/2021,20.00,15.00,10.00,8.00,4.00,1.00
8/06/2021,43.00,23.00,8.00,8.00,4.00,1.00
7/06/2021,41.00,41.00,10.00,10.00,4.00,2.00
6/06/2021,25.00,30.00,11.00,10.00,4.00,2.00
5/06/2021,38.00,22.00,9.00,9.00,6.00,2.00
4/06/2021,44.00,30.00,13.00,11.00,6.00,2.00
3/06/2021,46.00,33.00,11.00,11.00,3.00,2.00
2/06/2021,50.00,36.00,18.00,12.00,4.00,4.00
1/06/2021,38.00,36.00,14.00,13.00,4.00,3.00
31/05/2021,46.00,33.00,13.00,12.00,4.00,1.00
30/05/2021,64.00,35.00,17.00,10.00,4.00,2.00
29/05/2021,60.00,42.00,19.00,11.00,4.00,2.00
28/05/2021,58.00,49.00,15.00,10.00,4.29,2.00
27/05/2021,62.00,48.00,14.00,9.00,5.00,1.00
26/05/2021,80.00,56.00,15.00,8.00,4.00,1.00
25/05/2021,83.00,73.00,15.00,10.00,4.00,2.00
24/05/2021,82.00,76.00,18.00,11.00,5.00,2.00
23/05/2021,114.00,56.00,18.00,10.00,3.00,2.00
22/05/2021,79.00,70.00,21.00,10.00,2.00,3.00
21/05/2021,81.00,62.00,18.00,10.00,3.00,2.00
20/05/2021,38.00,66.00,18.00,11.00,4.29,3.00
19/05/2021,35.00,40.00,10.00,10.00,3.00,2.00
18/05/2021,58.00,24.00,9.00,10.00,4.00,1.00
17/05/2021,40.00,28.00,10.00,10.00,5.00,1.00
16/05/2021,43.00,27.00,11.00,9.00,4.29,2.00
15/05/2021,20.00,27.00,9.00,8.00,9.00,2.00
14/05/2021,71.00,24.00,9.00,7.00,4.00,2.00
13/05/2021,68.00,44.00,16.00,11.00,4.00,3.00
12/05/2021,64.00,50.00,15.00,10.00,4.00,2.00
11/05/2021,73.00,40.00,20.00,9.00,4.00,2.00
10/05/2021,54.00,52.00,14.00,11.00,4.00,3.00
9/05/2021,36.00,40.00,12.00,12.00,5.00,3.00
8/05/2021,48.00,31.00,10.00,11.00,5.00,2.00
7/05/2021,39.00,40.00,12.00,12.00,4.00,3.00
6/05/2021,54.00,37.00,13.00,12.00,4.00,1.00
5/05/2021,65.00,45.00,14.00,13.00,4.00,2.00
4/05/2021,78.00,52.00,14.00,15.00,3.00,3.00
3/05/2021,68.00,56.00,26.00,17.00,4.00,4.00
2/05/2021,75.00,50.00,25.00,14.00,5.00,3.00
1/05/2021,105.00,55.00,28.00,13.00,4.00,3.00
30/04/2021,86.00,71.00,34.00,14.00,5.00,2.00
29/04/2021,106.00,63.00,38.00,12.00,4.00,2.00
28/04/2021,80.00,73.00,44.00,16.00,5.00,3.00
27/04/2021,84.00,59.00,39.00,15.00,4.00,2.00
26/04/2021,85.00,62.00,44.00,13.00,4.00,3.00
25/04/2021,115.00,61.00,37.00,13.00,5.00,2.00
24/04/2021,101.00,73.00,36.00,13.00,4.00,3.00
23/04/2021,82.00,64.00,37.00,15.00,4.00,3.00
22/04/2021,105.00,56.00,31.00,12.00,3.00,2.00
21/04/2021,108.00,64.00,35.00,14.00,4.00,3.00
20/04/2021,118.00,68.00,32.00,15.00,4.00,3.00
19/04/2021,112.00,75.00,42.00,17.00,5.00,3.00
18/04/2021,98.80,76.00,29.00,18.00,4.00,3.00
17/04/2021,103.00,73.00,34.00,19.00,4.00,4.00
16/04/2021,98.00,68.00,35.00,18.00,4.00,4.00
15/04/2021,82.00,66.00,34.00,22.00,5.00,4.00
14/04/2021,67.00,56.00,33.00,17.00,5.00,3.00
13/04/2021,85.00,44.00,36.00,15.00,5.00,3.00
12/04/2021,88.00,61.00,31.00,14.00,4.00,3.00
11/04/2021,71.00,67.00,29.00,18.00,4.00,4.00
10/04/2021,101.00,54.00,28.00,14.00,3.00,3.00
9/04/2021,127.00,78.00,30.00,14.00,5.00,3.00
8/04/2021,126.00,91.00,32.00,20.00,5.00,4.00
7/04/2021,123.00,89.00,29.00,18.00,5.00,5.00
6/04/2021,132.00,86.00,36.00,15.00,4.00,4.00
5/04/2021,149.00,88.00,38.00,16.00,4.00,5.00
4/04/2021,154.00,102.00,29.00,18.00,10.00,7.00
3/04/2021,137.00,107.00,44.00,19.00,1.00,6.00
2/04/2021,141.00,105.00,43.00,18.00,1.00,4.00
1/04/2021,130.00,111.00,32.00,19.00,1.00,4.00
31/03/2021,122.00,103.00,28.00,17.00,4.29,4.00
30/03/2021,149.00,95.00,32.00,19.00,3.00,5.00
29/03/2021,145.00,93.00,38.00,12.00,2.00,4.00
28/03/2021,143.00,92.00,38.00,13.00,4.29,5.00
27/03/2021,154.00,95.00,36.00,14.00,4.29,5.00
26/03/2021,156.00,104.00,44.00,21.00,3.00,7.00
25/03/2021,151.00,97.00,44.00,20.00,4.29,7.00
24/03/2021,144.00,102.00,39.00,23.00,2.00,6.00
23/03/2021,147.00,90.00,47.00,14.00,2.00,6.00
22/03/2021,158.00,100.00,41.00,14.00,1.00,5.00
21/03/2021,122.00,100.00,50.00,19.00,1.00,7.00
20/03/2021,109.00,82.00,40.00,15.00,4.29,4.00
19/03/2021,109.00,75.00,35.00,16.00,4.29,4.00
18/03/2021,119.00,79.00,36.00,15.00,4.29,4.00
17/03/2021,142.00,77.00,36.00,12.00,4.29,4.00
16/03/2021,112.00,81.00,38.00,16.00,4.29,5.00
15/03/2021,102.00,70.00,38.00,17.00,4.29,4.00
14/03/2021,78.00,66.00,33.00,18.00,4.29,4.00
13/03/2021,61.00,58.00,28.00,17.00,4.29,4.00
12/03/2021,82.00,58.00,22.00,15.00,4.29,3.00
11/03/2021,73.00,66.00,14.00,17.00,4.29,4.00
10/03/2021,91.00,64.00,16.00,18.00,4.29,4.00
9/03/2021,103.00,68.00,32.00,17.00,5.00,4.00
8/03/2021,116.00,68.00,41.00,14.00,6.00,3.00
7/03/2021,122.00,78.00,42.00,16.00,5.00,4.00
6/03/2021,107.00,79.00,46.00,18.00,4.00,5.00
5/03/2021,110.00,72.00,36.00,13.00,6.00,4.00
4/03/2021,123.00,74.00,36.00,5.00,9.00,3.00
3/03/2021,132.00,85.00,38.00,11.00,7.00,6.00
2/03/2021,111.00,91.00,35.00,10.00,7.00,5.00
1/03/2021,122.00,75.00,37.00,10.00,5.00,4.00
28/02/2021,131.00,81.00,33.00,11.00,6.00,4.00
27/02/2021,129.00,89.00,36.00,18.00,7.00,6.00
26/02/2021,129.00,90.00,35.00,16.00,13.00,6.00
25/02/2021,128.00,85.00,37.00,16.00,6.00,5.00
24/02/2021,139.00,83.00,38.00,19.00,10.00,5.00
23/02/2021,143.00,91.00,40.00,23.00,7.00,7.00
22/02/2021,127.00,90.00,39.00,18.00,5.00,6.00
21/02/2021,87.00,74.00,33.00,18.00,5.00,6.00
20/02/2021,132.00,55.00,28.00,12.00,5.00,3.00
19/02/2021,139.00,72.00,34.00,16.00,5.00,4.00
18/02/2021,127.00,70.00,31.00,15.00,5.00,4.00
17/02/2021,120.00,75.00,41.00,14.00,4.00,3.00
16/02/2021,128.00,75.00,38.00,16.00,5.00,3.00
15/02/2021,119.00,77.00,36.00,17.00,5.00,3.00
14/02/2021,112.00,73.00,38.00,19.00,1.00,4.00
13/02/2021,127.00,69.00,36.00,20.00,6.00,3.00
12/02/2021,123.00,75.00,35.00,23.00,5.00,4.00
11/02/2021,133.00,69.00,39.00,19.00,4.00,4.00
10/02/2021,146.00,78.00,40.00,21.00,4.00,4.00
9/02/2021,152.00,91.00,52.00,24.00,6.00,5.00
8/02/2021,127.00,95.00,63.00,31.00,6.00,7.00
7/02/2021,154.00,82.00,39.00,21.00,6.00,3.00
6/02/2021,122.00,101.00,39.00,28.00,7.00,5.00
5/02/2021,116.00,84.00,38.00,27.00,4.00,4.00
4/02/2021,123.00,76.00,38.00,24.00,6.00,4.00
3/02/2021,123.00,86.00,31.00,23.00,6.00,6.00
2/02/2021,134.00,87.00,26.00,19.00,6.00,5.00
1/02/2021,157.00,86.00,29.00,17.00,5.00,5.00
31/01/2021,157.00,88.00,30.00,13.00,5.00,5.00
30/01/2021,144.00,88.00,34.00,12.00,5.00,4.00
29/01/2021,131.00,79.00,36.00,13.00,5.00,4.00
28/01/2021,147.00,73.00,31.00,12.00,5.00,4.00
27/01/2021,139.00,77.00,30.00,10.00,6.00,3.00
26/01/2021,117.00,75.00,36.00,10.00,6.00,3.00
25/01/2021,136.00,69.00,35.00,12.00,5.00,3.00
24/01/2021,134.00,73.00,43.00,14.00,6.00,4.00
23/01/2021,156.00,77.00,42.00,14.00,5.00,4.00
22/01/2021,149.00,89.00,45.00,15.00,5.00,4.00
21/01/2021,134.00,90.00,39.00,20.00,7.00,5.00
20/01/2021,132.00,85.00,33.00,18.00,5.00,4.00
19/01/2021,134.00,75.00,39.00,19.00,5.00,4.00
18/01/2021,125.00,74.00,30.00,16.00,4.00,5.00
17/01/2021,138.00,66.00,29.00,12.00,4.00,3.00
16/01/2021,156.00,73.00,32.00,15.00,6.00,3.00
15/01/2021,160.00,82.00,34.00,16.00,4.00,5.00
14/01/2021,145.00,87.00,36.00,15.00,5.00,5.00
13/01/2021,153.00,73.00,30.00,15.00,4.00,4.00
12/01/2021,144.00,89.00,34.00,20.00,6.00,6.00
11/01/2021,148.00,96.00,31.00,25.00,7.00,8.00
10/01/2021,108.00,89.00,36.00,27.00,6.00,7.00
9/01/2021,86.00,65.00,31.00,17.00,4.00,4.00
8/01/2021,124.00,56.00,26.00,15.00,4.00,3.00
7/01/2021,121.00,73.00,23.00,15.00,6.00,4.00
